date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:23	35170/35170	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2014:18:25%20GMT	https://www.gaissecurity.com/urunlerimiz/vulpmp	C:/My%20Web%20Sites/web%20sitesi/www.gaissecurity.com/urunlerimiz/vulpmp.html	(from )
17:18:23	89/89	---M-Z	200	added ('OK')	text/plain	date:Wed,%2018%20Sep%202024%2014:18:25%20GMT	https://www.gaissecurity.com/robots.txt		(from )
17:18:24	489545/489545	---M-Z	200	added ('OK')	text/css	etag:%22b5423c949f04495b106d944942d91e39%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/css/gais-security.webflow.974b3e55a.min.css	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/css/gais-security.webflow.974b3e55a.min.css	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:24	480/480	---M--	200	added ('OK')	image/png	etag:%22f7fa12a13039208cc67e676766a7b1d2%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/63f61dbc87f5f4859b0b4b82_Favicon32x32.png	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/63f61dbc87f5f4859b0b4b82_Favicon32x32.png	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:24	3049/3049	---M--	200	added ('OK')	image/png	etag:%22167c8756c14bc2c879ca481dfba2e4d7%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/63f61dc32dead46b548de7e8_Favicon256x256.png	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/63f61dc32dead46b548de7e8_Favicon256x256.png	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:24	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2018%20Sep%202024%2014:18:27%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/web%20sitesi/www.googletagmanager.com/gtm.45445.delayed	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:25	18828/18828	---M--	200	added ('OK')	image/png	etag:%2227ef2b2eeb8229a6ed8c2b0537bd5141%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/6342087c6a3b911d126b4c87_gais-seamless.png	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/6342087c6a3b911d126b4c87_gais-seamless.png	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:25	35657/35657	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2014:18:27%20GMT	https://www.gaissecurity.com/urunlerimiz/peyk	C:/My%20Web%20Sites/web%20sitesi/www.gaissecurity.com/urunlerimiz/peyk.html	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:25	35370/35370	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2014:18:27%20GMT	https://www.gaissecurity.com/urunlerimiz/aima	C:/My%20Web%20Sites/web%20sitesi/www.gaissecurity.com/urunlerimiz/aima.html	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:25	3808/3808	---M--	200	added ('OK')	image/png	etag:%222116cfa5c0af9ee51e419dc9e67df616%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/63d15ec487bf02455903fe84_logo-vulpmp.png	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/63d15ec487bf02455903fe84_logo-vulpmp.png	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:26	33220/33220	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2014:18:28%20GMT	https://www.gaissecurity.com/urunlerimiz/msp	C:/My%20Web%20Sites/web%20sitesi/www.gaissecurity.com/urunlerimiz/msp.html	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:26	3641/3641	---M--	200	added ('OK')	image/png	etag:%22ff73d44b095695dbecb0ce1f7eedb57e%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c91f1c1d9b658fc52a061_tsgk.png	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c91f1c1d9b658fc52a061_tsgk.png	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:26	1937/1937	---M--	200	added ('OK')	image/png	etag:%2257230b1936f05da8a5b67b7cfd2c5e09%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c925d0e444c35c49c6cf1_tse.png	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c925d0e444c35c49c6cf1_tse.png	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:26	1445/1445	---M--	200	added ('OK')	image/png	etag:%220f457a1783003a573707b1dfd9aaacdf%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c929e71f38a41d98af7cf_ceh.png	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c929e71f38a41d98af7cf_ceh.png	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:26	4602/4602	---M--	200	added ('OK')	image/png	etag:%22538a22dd77278c05c826fc2907bcc97c%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c92b6e792de017bdd42c8_cert.png	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c92b6e792de017bdd42c8_cert.png	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:27	306249/306249	---M--	200	added ('OK')	image/png	etag:%22564bc02affffe113c4bd764e2196b11d%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c92c7ac523e087ccc907b_iso9001_big.png	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c92c7ac523e087ccc907b_iso9001_big.png	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:27	5739/5739	---M--	200	added ('OK')	image/png	etag:%2232f6cb4da316db198350c5c49336f896%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c92ef13a7e77b895941e7_tse-hyb.png	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c92ef13a7e77b895941e7_tse-hyb.png	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
17:18:28	73078/73078	---M--	200	added ('OK')	image/png	etag:%2287fe924b1ba3424494266d35e179fb48%22	https://cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c92d8e86ec40154351c5d_iso_27001_big.png	C:/My%20Web%20Sites/web%20sitesi/cdn.prod.website-files.com/633b3a6a2bf424673a065986/633c92d8e86ec40154351c5d_iso_27001_big.png	(from https://www.gaissecurity.com/urunlerimiz/vulpmp)
